Maintainer username,Maintainer name,Total dependencies maintained,Goal progress,Goal description,Total sponsors,Total organization sponsors,Sponsorship amount in USD
fluffynuts,Davyd McColl,1,20,10 monthly sponsors,2,2,
jaredhanson,Jared Hanson,1,,,15,6,
edbzn,Edouard Bozon,1,20,5 monthly sponsors,1,0,
standard,Standard JS,1,,,3,2,
dexie,Dexie,1,40,5 monthly sponsors,2,1,
Swatinem,Arpad Borsos,1,,,6,2,
azz,Lucas Azzola,1,,,1,1,
blueimp,Sebastian Tschan,1,,,3,2,
smorimoto,Sora Morimoto,1,1,"$2,147,483,647 per month",7,0,
electerious,Tobias Reich,1,,,3,3,
sezna,Alex Hansen,1,,,1,1,
hutson,Hutson Betts,1,,,1,1,
Dexus,Josef Fröhle,1,0,100 monthly sponsors,0,0,
moll,Andri Möll,1,1,"$1,337 per month",3,3,
jdx,,1,,,7,1,
kamilmysliwiec,Kamil Mysliwiec,1,,,23,3,
TomerAberbach,Tomer Aberbach,1,66,3 monthly sponsors,2,0,
wesleytodd,Wes Todd,1,,,3,3,
sholladay,Seth Holladay,1,20,10 monthly sponsors,2,1,
ryanve,deepskyblue,1,,,2,1,
mashpie,Marcus Spiegel,1,0,$100 per month,0,0,
shannonmoeller,Shannon Moeller 🧢,1,,,2,2,
dominikg,Dominik G.,1,50,10 monthly sponsors,5,2,
andris9,Andris Reinman,1,33,$500 per month,9,5,
RyanClementsHax,Ryan Clements,1,0,10 monthly sponsors,0,0,
juliencrn,Julien,1,4,50 monthly sponsors,2,1,
hugomrdias,Hugo Dias,1,,,1,0,
tada5hi,Peter,1,,,0,0,
psf,Python Software Foundation,1,,,17,3,
Stuk,Stuart Knightley,1,20,10 monthly sponsors,2,2,
jsynowiec,Jakub Synowiec,1,0,$50 per month,0,0,
TremayneChrist,Tremayne Christ,1,1,$250 per month,3,3,
canterberry,Devin Canterberry,1,,,0,0,
stylus,,1,1,$500 per month,3,2,
LitoMore,,1,30,10 monthly sponsors,3,3,
Shakeskeyboarde,Chris Ackerman,1,0,$100 per month,0,0,
flavorjones,Mike Dalessio,1,17,100 monthly sponsors,17,7,
remorses,Tommy D. Rossi,1,6,$500 per month,5,4,
rbuckton,Ron Buckton,1,,,1,1,
nfroidure,Nicolas Froidure,1,0,"$1,000 per month",1,1,
jwalton,Jason Walton,1,10,10 monthly sponsors,1,1,
davidmyersdev,David Myers,1,40,5 monthly sponsors,2,1,
nonara,Ron Spickenagel,1,0,"$1,000 per month",0,0,
danielpza,Daniel Perez Alvarez,1,20,5 monthly sponsors,1,0,
dperini,Diego Perini,1,1,"$10,000 per month",1,1,
dawsbot,Dawson Botsford,1,50,10 monthly sponsors,5,4,
mattlewis92,Matt Lewis,1,,,4,2,
DABH,David Hyde,1,30,10 monthly sponsors,3,3,
rawify,raw,1,15,20 monthly sponsors,3,3,
ShieldBattery,,1,0,$50 per month,0,0,
cyberalien,Vjacheslav Trushkin,1,7,"$2,000 per month",26,3,
fnando,Nando Vieira,1,30,10 monthly sponsors,3,2,
toddbluhm,Todd Bluhm,1,,,0,0,
drcmda,—,1,,,17,1,
bahmutov,Gleb Bahmutov,1,,,1,0,
donavon,Donavon West,1,,,1,1,
cristianbote,Cristian Bote,1,1,"$1,000 per month",1,1,
m19c,Marc Binder,1,0,10 monthly sponsors,0,0,
Yqnn,Yann Armelin,1,30,10 monthly sponsors,5,2,
dilanx,Dilan Nair,1,25,$20 per month,1,1,
mathisonian,Matthew Conlen,1,,,3,3,
mattgperry,Matt Perry,1,,,4,2,
creationix,Tim Caswell,1,30,20 monthly sponsors,6,3,
oddbird,OddBird,1,1,"$5,000 per month",3,1,
megahertz,Alexey Prokhorov,1,,,0,0,
valeriangalliat,Val,1,1,420 monthly sponsors,1,1,
yukukotani,Yuku Kotani,1,,,0,0,
dj-stripe,,1,18,16 monthly sponsors,3,2,
jimmywarting,Jimmy Wärting,1,50,10 monthly sponsors,5,3,
aleclarson,Alec Larson,1,,,4,3,
tbo47,Teebo,1,0,10 monthly sponsors,0,0,
iansan5653,Ian Sanders,1,,,0,0,
millsp,pierre,1,42,7 monthly sponsors,3,3,
radar,Ryan Bigg,1,15,20 monthly sponsors,3,3,
AlCalzone,,1,27,100 monthly sponsors,29,0,
messense,,1,20,"$3,000 per month",32,6,
nfriedly,Nathan Friedly,1,,,4,4,
urllib3,,1,21,100 monthly sponsors,21,5,
ruimarinho,Rui Marinho,1,,,0,0,
matzkoh,,1,,,0,0,
emberjs,Ember.js,1,,,24,9,
ryu1kn,Ryuichi Inagaki,1,0,10 monthly sponsors,0,0,
jpadilla,José Padilla,1,,,6,2,
dwmkerr,Dave Kerr,1,,,3,1,
CodyJasonBennett,Cody Bennett,1,,,5,0,
pennersr,Raymond Penners,1,,,23,7,
mathieudutour,Mathieu Dutour,1,4,25 monthly sponsors,1,0,
orta,Orta Therox,1,18,50 monthly sponsors,9,1,
Marak,,1,,,9,4,
